energy,smiles
-5.6,CC[C@@H](OC(C)=O)[C@H]1C(CN2CCOCC2)=NNN1Cc1ccccc1
-6.2,C#C[C@@](C)(c1ccccc1)N1NN=C(CO)[C@@H]1[C@@H](O)c1ccccc1
-8.3,CC[C@H](CO)NCC1=NNN(CC2=C[C@@H]3NCN=C3C=C2)[C@H]1c1ccccc1
-6.0,C#C[C@](C)(c1ccccc1)N1NN=C(CC2(S(N)(=O)=O)CC2)[C@@H]1CC
-6.7,CC[C@H](CO)NCC1=NNN(c2ccc(F)cc2F)[C@H]1c1ccccc1
-6.6,C#C[C@](C)(c1ccccc1)N1NN=C(c2ccccc2)[C@@H]1C(=O)NC[C@@]1(O)CCOC1
-6.3,CC(C)c1ccccc1[C@H]1C(CO)=NNN1C1=NS(=O)(=O)c2ccccc21
-6.9,O=C(O)c1ccc(C#CC2=NNN(c3ccc(F)c([N+](=O)[O-])c3)[C@@H]2[C@H]2C[C@H](O)C2)cc1
-6.8,NCC1=NNN(c2ccc(C(=O)NN)cc2)[C@H]1c1ccccn1
-7.2,CCOC(=O)[C@H](N)CC1=NNN(CCCN2NN=C3C=CC=C[C@@H]32)[C@H]1C
-6.5,C/C=C/[C@H]1C(C#CC#C/C=C/[C@H](O)CO)=NNN1c1nncn1NCc1ccc(OC)cc1
-6.8,C#C[C@@](C)(c1ccccc1)N1NN=C(C)[C@@H]1C1O[C@H](C)[C@@H](C)O1
-7.8,CCOc1ccc(CN2NN=C(C(=O)OC)[C@@H]2c2ccc(C)cc2)cc1
-8.6,O=C(CN1NN=C(CNC(=O)c2ccccc2)[C@H]1c1ccccc1)c1cccc(F)c1
-8.0,CC(C)Cn1cc(C(=O)OCC2=NNN(c3ccc(F)c([N+](=O)[O-])c3)[C@H]2C)cn1
-6.5,CC1=NNN(c2ccc(CO)cc2)[C@H]1[C@@H](C)c1ccccc1O
-5.8,COc1ccc(CNn2cnnc2N2NN=C(CN3CC3)[C@H]2CCN)cc1
-6.7,CC1=NNN(c2cccc3cccnc23)[C@H]1C1=C[C@@H](C)CCC1
-7.7,CN(C)CC1=NNN(C[C@@H]2COc3ccccc3O2)[C@H]1c1ccc(-c2ccn[nH]2)s1
-8.1,O=C1CCCN1CC1=NNN(C[C@@H]2COc3ccccc3O2)[C@H]1CN1CCCC1=O
-5.8,CCOC(CC1=NNN(c2cccc3ncccc23)[C@H]1C(=O)N(C)C)OCC
-5.4,C#C[C@@](C)(c1ccccc1)N1NN=C(C(=C)C)[C@@H]1[C@@H](O)C(C)C
-7.2,CCC[C@@H](O)C1=NNN(Cc2ccc(C)c(C)c2)[C@@H]1c1ccccc1OC
-6.1,CCOC(=O)[C@@](O)(C1CCCC1)[C@H]1C(CC)=NNN1c1ccc(F)cc1F
-5.4,CC[C@@H]1C(C[C@H]2O[C@@H]2CO)=NNN1c1cc2c(cc1[N+](=O)[O-])OCCO2
-6.2,CCCn1cc(C2=NNN(c3nncn3NCc3ccc(OC)cc3)[C@H]2C(=O)O)cn1
-6.7,C#C[C@](C)(c1ccccc1)N1NN=C(COc2ccccc2NC(=O)C2CC2)[C@@H]1C
-6.1,CC[C@H]1C(C[C@H](N)C(=O)OC)=NNN1c1ccc(F)cc1F
-6.6,C#C[C@@](C)(c1ccccc1)N1NN=C(C(=O)C(F)(F)F)[C@H]1C(F)(F)F
-7.2,CC1=NNN(CC(=O)c2cccc(F)c2)[C@H]1[C@@H]1CCCS1
-5.9,C#C[C@@](C)(c1ccccc1)N1NN=C(c2ccccc2)[C@@H]1[C@@H]1CCCNC1
-5.8,CC[C@H](C)[C@@H]1C(C)=NNN1c1ccnc2c(S(C)(=O)=O)cccc12
-6.7,C#C[C@@](C)(c1ccccc1)N1NN=C(C(C)(C)O)[C@H]1[C@@H](O)c1ccccc1F
-6.6,C=CCC[C@](C)(O)[C@H]1C(CN2CCOCC2)=NNN1c1ccc(C(=O)C=O)cc1
-6.8,CCCCC1=NNN(c2ccc(C(=O)NN)cc2)[C@H]1[C@@H]1CCCO1
-9.1,C[C@H]1C(C#C/C=C2\C=C[C@]3(CCCO3)O2)=NNN1CCc1ccc(-c2ncc[nH]2)cc1
-6.2,CC[C@H]1C(C[C@H](C)O)=NNN1c1ccc(F)c([N+](=O)[O-])c1
-6.8,CCOc1ccc(CN2NN=C(CN3CCOCC3)[C@@H]2[C@](C)(CC)OC(C)=O)cc1
-8.2,C#C[C@@](C)(c1ccccc1)N1NN=C(CCCC(=O)Nc2ccc(C(=O)O)cc2)[C@@H]1C
